"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"作家・水野俊哉16作目の著作出版記念。全国3都市で講演会を開催したい！,http://greenfunding.jp/miraibooks/projects/736,ミライブックスファンド,出版,水野俊哉,68,1,1,3000"
"トップドライバーを目指す！SUGO S耐参戦！,http://greenfunding.jp/allez-japan/projects/759,ALLEZ! japan,スポーツ,萩森翼,29,1,5,5000"
"昭和を生きた映画館を舞台に。写真家・藤里一郎の写真集『昭和映画館の香りと美』制作プロジェクト！,http://greenfunding.jp/miraibooks/projects/731,ミライブックスファンド,出版,藤里一郎,46,9,10,252000"
"アースデイいのちの森2014　野外フェスティバル型環境イベント～会場設営ソーラーパネルと竹テントの設置～,https://meetaup.jp/meetaup/projects/754,MeeT@UP,イベント,アースデイいのちの森,19,6,14,15000"
"ビーチバレー浦田景子、リオへのラストチャレンジ！WORLDTOUR2014 応援プロジェクト,https://cf.sportie.jp/sportie/projects/740,Sports IT Solution,スポーツ,浦田景子,39,26,34,169000"
"全日本ロードレース参戦を機に若手レーサーの育成とレース界の活性化を図りたい！,https://meetaup.jp/meetaup/projects/753,MeeT@UP,スポーツ,武田雄一,67,29,27,820800"
"【ブラインドサッカー日本代表応援！】世界選手権で掲げるジャイアントジャージを作ろう！,http://greenfunding.jp/fiat_alfaromeo/projects/729,Share your heart 2014,スポーツ,サッカー団体infinity,39,15,22,77000"
"メジャーを目指す第一歩！米リーグでプレー！,http://greenfunding.jp/allez-japan/projects/752,ALLEZ! japan,スポーツ,大曽根諒,9,1,1,1000"
"本場のインラインアルペンの技術を日本に！,http://greenfunding.jp/allez-japan/projects/751,ALLEZ! japan,スポーツ,尾﨑惇史,20,6,44,22000"
"世界で一番カラフルな基地を神宮前に！東京に、もうひとつの2丁目をつくりたい！,http://greenfunding.jp/fiat_alfaromeo/projects/746,Share your heart 2014,社会貢献,特定非営利活動法人　グッド・エイジング・エールズ,21,32,78,392126"
"World Extreme Games(上海)でトップを狙う！,http://greenfunding.jp/allez-japan/projects/748,ALLEZ! japan,スポーツ,後藤祐斗,51,18,103,103000"
"日本を代表しWorld Extreme Games(上海)に参戦,http://greenfunding.jp/allez-japan/projects/747,ALLEZ! japan,スポーツ,金島総一郎,51,20,101,101000"
"復興支援＆子どもの自尊心育成プロジェクト,http://greenfunding.jp/allez-japan/projects/744,ALLEZ! japan,社会貢献,CAPLIORE (カプリオール),32,4,23,80000"
"松下唯、初めての個展を阿佐ヶ谷アニメストリートで開催したい！,http://greenfunding.jp/lab/projects/739,GREEN FUNDING Lab,アート,ゆいみんプロジェクト,29,60,216,1563000"
"5月の全日本選手権/頂点を目指して,http://greenfunding.jp/allez-japan/projects/738,ALLEZ! japan,スポーツ,篠田匡世,20,27,75,150000"
