"title, page_address, owner, category, status, patron, total, rest"
"京都・出町柳駅前　多目的カフェかぜのね　顔のみえるエネルギーを拡げるプロジェクト,/projects/kazenoneEnergy,多目的カフェかぜのね,コミュニティ,,73,294000,残り32日"
"京都から世界へ、自ら映画を観せに行く！　祇園舞台の映画製作をご支援ください！,/projects/yubamotionpictures,ゆば yuba...,映画,,6,173000,残り68日"
"短編時代劇『風と舟』を製作！国内・NYで最優秀賞、モントリオール、そして次は！？,/projects/wind-and-boat,藏原 潔司,映画,,36,108855,残り20日"
"北沢綾香ファーストアルバム制作プロジェクト,/projects/ayaka-1stalbum,(C)Visu...,音楽,,195,1957000,残り7日"
"10周年を迎える世界で最もエキサイティングなクラシック音楽祭　ラ・フォル・ジュルネ運...,/projects/lfj2014,株式会社東京国...,音楽,,112,2251200,残り11日"
"日本の伝統芸能である津軽三味線と島唄が融合したジャズバンド黒船のCDを制作します,/projects/kurofune,Tomotak...,音楽,,88,398000,残り37日"
"飯野賢治企画・原案のゲーム KAKEXUN（カケズン）制作プロジェクト,/projects/KAKEXUN,KAKEXUN...,ゲーム,,68,3449000,残り25日"
"NOddIN 2nd Exhibition 発表展示にご支援をお願いします！,/projects/NOddINSecondExhibition,NOddIN,パフォーマンス,,63,318000,残り7日"
"日本・世界で絶賛された「フタバから遠く離れて」の続編を制作中！\r\n原発避難の「いま」...,/projects/nuclearnation2,「フタバから遠...,映画,,59,1770799,残り76日"
"和歌山県新宮市に”人生のとまり木”となる村をつくる。,/projects/tomarigi,三枝 孝之,コミュニティ,FUNDED!,58,671000,終了14年04月24日"
"プロジェクト『両手で書く、描く』をドイツから島根へ,/projects/spiegel,三村 竜太郎,アート,,0,0,残り57日"
"瀬戸内サーカスファクトリー主催　日仏共同創作公演「キャバレー」制作支援,/projects/setouchicircusfactory,瀬戸内サーカス...,演劇・ダンス,,2,11000,残り27日"
"スペイン墓の魚・室内管弦楽団(スペイン魔女のオーケストラ)演奏会,/projects/pezdetumba,黒実　音子 く...,音楽,,5,5000,残り58日"
"オーガニックコスメLalitpurの新ライン！春夏秋冬を感じるSeasonal Co...,/projects/lalitpur_2,向田麻衣,プロダクト,,3,47500,残り49日"
"ヒロインアクション映画『アイドルスナイパー２』応援プロジェクト,/projects/idolsniper,Inaba T...,映画,,6,30000,残り63日"
"公演なるか！？　名前はまだなゐ 新作 【すべてが仮の日（仮）】,/projects/namaeha-madanai,namaeha...,演劇・ダンス,,35,32000,残り16日"
"『ぐるぐる、ぐるぐる』僕らと地球は回る∞映画「惑星ミズサ」劇場公開プロジェクト,/projects/mizusa,映画「惑星ミズ...,映画,FUNDED!,46,741500,終了14年04月14日"
"つり目でドSな女王様ユニット「ツリメラ」主演映画の製作協力をお願いします！,/projects/tsurimela,塩出 太志,映画,,39,397500,残り7日"
"太田信吾監督『わたしたちに許された特別な時間の終わり』（山形国際ドキュメンタリー映画...,/projects/watashitachini,Shingo Ota,映画,,26,526000,残り28日"
"『ゆきゆきて、神軍』原一男によるnew「CINEMA塾」にご支援をお願いします！,/projects/newCINEMAjuku,new 「CI...,映画,,5,43000,残り108日"
"劇団Neo-style.第2回公演「ロクデナシ」,/projects/neostyle-rokudenashi,劇団Neo-s...,演劇・ダンス,,0,0,残り58日"
"フラメンコ＋マランボのスーパーユニットKAMINOSの来日ツアーにあたり、アルゼンチ...,/projects/KAMINOS,ヨランダオフィ...,演劇・ダンス,,0,6000,残り109日"
"『君のいない教室』製作支援への御協力のお願い,/projects/kiminoinaikyositsu,山本 尚志,映画,FUNDED!,36,396500,終了14年04月08日"
"映画『遺言』福島を描いたドキュメンタリー映画の決定版を全国に広げよう！,/projects/yuigon_fukushima,映画 遺言プロ...,映画,,52,788500,残り7日"
"「アルバムのチカラ」出版プロジェクト,/projects/album-no-chikara,赤々舎,本,FUNDED!,237,2326525,終了14年04月04日"
"【原発ゼロを永遠に】　３１１ゼロ　黄色ふうせんプロジェクト,/projects/kiirofusenproject,TEAM 原発...,コミュニティ,,9,28000,残り22日"
"シンガーソングライターChaoBeeのミュージックビデオを制作します,/projects/chaobee,ChaoBee,音楽,,0,3000,残り70日"
"映画の街＝尾道にたった一つの映画館「シネマ尾道」を残すために、デジタル映写設備導入に...,/projects/cinema-onomichi,かわもとせいじゅん,映画,,44,1338000,残り7日"
"長編映画『愛のレシピ〜卵ランド〜』,/projects/recipe_of_love_movie,渡邊 世紀,映画,,17,241000,残り99日"
"coscase：コスプレイヤー御用達キャリーケース,/projects/coscase,frentrep,プロダクト,FUNDED!,136,3366550,終了14年03月31日"
"農大生×美大生 喫茶catoquiプロジェクト,/projects/kissacatoqui,島田 優里,コミュニティ,,3,34000,残り96日"
"異色の3人の活躍を描く日本酒ドキュメンタリー「KAMPAI」制作支援のお願い,/projects/KAMPAI,Mirai K...,映画,,38,1286000,残り33日"
"90年代リバイバルJ-POP！かけらライオが1stフルアルバムを制作します！,/projects/kakeralio,かけらライオ,音楽,,7,90000,残り37日"
"３年が過ぎたいま、福島の声を九州に！劇団ユニット・ラビッツin福岡演劇フェス「ラッキ...,/projects/ur-luckyisland,劇団ユニット・...,演劇・ダンス,FUNDED!,1,5000,終了14年04月21日"
"アートの力でインド農村部の教育支援「ウォールアートフェスティバル2014」,/projects/wallartfestival2014,おおくにあきこ,アート,FUNDED!,28,377000,終了14年03月24日"
"I-Play fes 2014　～演劇からの復興～いわき演劇まつり,/projects/iplayfes2014,Michiko...,演劇・ダンス,FUNDED!,36,561000,終了14年03月24日"
"映画「The lion dance しあわせ獅子あわせ」の東北・北海道の配給に係る費...,/projects/ssa,釜野 清登,映画,,6,26500,残り14日"
"本邦初！大麻の真実に迫る渾身のルポ！ドキュメンタリー映画『ニッポンの麻やけ』の製作資...,/projects/nipponasayake,中村 ららら,映画,,0,5000,残り21日"
